State,City,City Population,FacebookPlaceId,Lon,Lat,Is300MilesFromCC
TX,Seabrook,13693,,,,
TX,Levelland,13628,,,,
TX,Andrews,13472,,,,
TX,Santa Fe,13442,,,,
TX,Four Corners,13385,,,,
TX,Henderson,13300,,,,
TX,Glenn Heights,13084,,,,
TX,La Homa,12999,,,,
TX,Forest Hill,12953,,,,
TX,Beeville,12937,,,,
TX,Port Neches,12898,,,,
TX,Lumberton,12829,,,,
TX,Red Oak,12780,,,,
TX,Borger,12754,,,,
TX,Anna,12753,,,,
TX,Athens,12704,,,,
TX,Royse City,12567,,,,
TX,Azle,12495,,,,
TX,Gatesville,12387,,,,
TX,Trophy Club,12340,,,,
TX,Wells Branch,12245,,,,
TX,Port Lavaca,12212,,,,
TX,Freeport,12169,,,,
TX,Fate,12090,,,,
TX,Richmond,12064,,,,
TX,Greatwood,12040,,,,
TX,El Campo,11751,,,,
TX,Tomball,11707,,,,
TX,Clute,11634,,,,
TX,Robinson,11617,,,,
TX,Leon Valley,11426,,,,
TX,Roma,11425,,,,
TX,Robstown,11385,,,,
TX,Fredericksburg,11369,,,,
TX,Snyder,11320,,,,
TX,Burkburnett,11170,,,,
TX,Webster,11123,,,,
TX,Raymondville,11003,,,,
TX,Galena Park,10989,,,,
TX,Vidor,10854,,,,
TX,Selma,10712,,,,
TX,Jacinto City,10661,,,,
TX,Sweetwater,10579,,,,
TX,Rockport,10555,,,,
TX,Bellmead,10503,,,,
TX,Pleasanton,10490,,,,
TX,Vernon,10346,,,,
TX,Pearsall,10345,,,,
TX,Ingleside,10302,,,,
TX,Bonham,10193,,,,
TX,Princeton,10159,,,,
TX,Manvel,10115,,,,
TX,Fulshear,10044,,,,
TX,Granbury,9923,,,,
TX,Pecos,9922,,,,
TX,Celina,9836,,,,
TX,Elgin,9701,,,,
TX,Brownfield,9695,,,,
TX,Eidson Road,9654,,,,
TX,Fort Bliss,9650,,,,
TX,Hondo,9305,,,,
TX,Manor,9217,,,,
TX,Liberty,9215,,,,
TX,Melissa,9212,,,,
TX,Lamesa,9211,,,,
TX,Highland Park,9208,,,,
TX,San Elizario,9173,,,,
TX,Helotes,9169,,,,
TX,Commerce,9145,,,,
TX,Fair Oaks Ranch,9091,,,,
TX,Bacliff,9004,,,,
TX,Fairview,8950,,,,
TX,Lantana,8944,,,,
TX,Woodway,8825,,,,
TX,Bastrop,8802,,,,
TX,Wharton,8769,,,,
TX,Heath,8720,,,,
TX,Kirby,8705,,,,
TX,Graham,8685,,,,
TX,Perryton,8683,,,,
TX,Hillsboro,8425,,,,
TX,Alamo Heights,8413,,,,
TX,Fort Stockton,8356,,,,
TX,Dalhart,8346,,,,
TX,Kennedale,8338,,,,
TX,Whitehouse,8317,,,,
TX,Cuero,8292,,,,
TX,Aransas Pass,8265,,,,
TX,Sanger,8255,,,,
TX,Bridge City,8162,,,,
TX,Roanoke,8135,,,,
TX,Cleveland,8125,,,,
TX,Richland Hills,8052,,,,
TX,West Livingston,8012,,,,
TX,Dayton,7969,,,,
TX,Lake Dallas,7958,,,,
TX,Jersey Village,7929,,,,
TX,Hitchcock,7900,,,,
TX,Los Fresnos city,7830,,,,
TX,Lampasas,7826,,,,
TX,Joshua,7778,,,,
TX,River Oaks,7703,,,,
TX,Hempstead,7659,,,,
TX,Gonzales,7628,,,,
TX,Navasota,7607,,,,
TX,Jasper,7604,,,,
TX,Floresville,7572,,,,
TX,Seminole,7559,,,,
TX,Hornsby Bend and Monahans,7520,,,,
TX,Lucas,7483,,,,
TX,Mexia,7394,,,,
TX,Highlands,7386,,,,
TX,La Feria,7364,,,,
TX,Kaufman,7322,,,,
TX,Crystal City,7264,,,,
TX,Fabens,7168,,,,
TX,Elsa,7134,,,,
TX,Providence Village,7127,,,,
TX,Lago Vista city,6815,,,,
TX,Bee Cave,6739,,,,
TX,Silsbee,6724,,,,
TX,Decatur,6721,,,,
TX,Murillo,6714,,,,
TX,Lackland AFB,6711,,,,
TX,Cameron Park,6677,,,,
TX,Lacy-Lakeview,6611,,,,
TX,Bridgeport,6596,,,,
TX,Carthage,6581,,,,
TX,Kingsland,6576,,,,
TX,Camp Swift,6550,,,,
TX,Crockett,6526,,,,
TX,Marble Falls,6514,,,,
TX,Mila Doce,6504,,,,
TX,Sunnyvale,6491,,,,
TX,Sealy,6488,,,,
TX,Keene,6440,,,,
TX,Willis,6436,,,,
TX,Gladewater,6408,,,,
TX,Prairie View,6399,,,,
TX,Iowa Park and Burnet,6355,,,,
TX,White Oak,6352,,,,
TX,Everman,6348,,,,
TX,Gun Barrel City,6102,,,,
TX,Childress,6076,,,,
TX,Kermit,6072,,,,
