State,City,City Population,FacebookPlaceId,Lon,Lat,Is300MilesFromCC
TX,Thorndale,1300,,,,
TX,Wallis and Eden,1297,,,,
TX,Lake Brownwood and Emory,1295,,,,
TX,Tye and Roscoe,1293,,,,
TX,Stowell and Munday,1289,,,,
TX,Benavides,1285,,,,
TX,Von Ormy,1275,,,,
TX,Palm Valley,1271,,,,
TX,Martindale,1266,,,,
TX,Florence,1262,,,,
TX,Wildwood,1254,,,,
TX,Bevil Oaks,1251,,,,
TX,Alto,1230,,,,
TX,Brownsboro and LaCoste,1229,,,,
TX,Iraan,1218,,,,
TX,Ore City,1216,,,,
TX,Rogers,1215,,,,
TX,Jewett,1211,,,,
TX,Hemphill,1210,,,,
TX,Holiday Lakes and Clear Lake Shores,1208,,,,
TX,China,1205,,,,
TX,Spur,1203,,,,
TX,Lexington,1202,,,,
TX,Callender Lake,1200,,,,
TX,Frankston and Valley Mills,1189,,,,
TX,Cottonwood Shores,1188,,,,
TX,Claude,1187,,,,
TX,César Chávez and Olmito,1185,,,,
TX,Kemp,1184,,,,
TX,Lorenzo,1182,,,,
TX,Lake Medina Shores,1164,,,,
TX,Taft Southwest,1163,,,,
TX,Newark,1161,,,,
TX,Tenaha,1158,,,,
TX,Oyster Creek,1156,,,,
TX,Calvert,1154,,,,
TX,Rocksprings,1150,,,,
TX,Gruver and McKinney Acres,1149,,,,
TX,Nevada and New Summerfield,1148,,,,
TX,Sherwood Shores,1147,,,,
TX,Timpson,1143,,,,
TX,Holland,1142,,,,
TX,Petersburg,1137,,,,
TX,Knox City,1136,,,,
TX,Fairchilds,1135,,,,
TX,Godley and Clint,1131,,,,
TX,Geronimo,1124,,,,
TX,Randolph AFB and Ransom Canyon,1123,,,,
TX,Waelder and Marion,1121,,,,
TX,"Uhland, Falcon Lake Estates, and Manchaca",1119,,,,
TX,Chico,1116,,,,
TX,China Spring and Ames,1115,,,,
TX,Fort Davis,1114,,,,
TX,North Pearsall,1111,,,,
TX,Anton,1100,,,,
TX,Hackberry,1099,,,,
TX,Kempner,1097,,,,
TX,"Pine Island, New Waverly, and Gholson",1094,,,,
TX,Runge and Lindsay city,1092,,,,
TX,Redwater,1091,,,,
TX,Carrizo Hill and Paducah,1090,,,,
TX,Hill Country Village,1084,,,,
TX,Hart,1078,,,,
TX,"Bogata, St. Paul town, and Asherton",1077,,,,
TX,Tom Bean,1076,,,,
TX,Jamaica Beach and Southmayd,1075,,,,
TX,Harper and Maud,1066,,,,
TX,Daisetta,1065,,,,
TX,Tiki Island and Los Indios,1062,,,,
TX,Ranchos Penitas West,1045,,,,
TX,Santa Anna town and Gorman,1044,,,,
TX,Port O'Connor,1042,,,,
TX,Markham,1039,,,,
TX,Groveton,1034,,,,
TX,Maypearl,1033,,,,
TX,Skidmore,1030,,,,
TX,Emerald Bay,1029,,,,
TX,Robert Lee,1026,,,,
TX,Riesel,1024,,,,
TX,Berryville,1021,,,,
TX,Reid Hope King,1017,,,,
TX,Red Lick,1016,,,,
TX,St. Jo,1015,,,,
TX,South Point,1007,,,,
TX,Wink,1006,,,,
TX,Wortham and Arp,1004,,,,
